"Code";"Libellé.x";"Nb de pers. âgées de 25 à 64 ans 2021.x";"Population municipale 2021";"Nb de pers. âgées de - de 25 ans 2021.x";"Taux de mortalité annuel moyen 2015-2021";"Taux de natalité annuel moyen 2015-2021";"Part des familles sans enf. de - de 25 ans 2021";"Part des familles avec 1 enf. de - de 25 ans 2021";"Part des familles avec 3 enf. ou plus de - de 25 ans 2021";"Libellé.y";"Population de 15 ans ou + selon la CSP 2021
Ensemble";"Population de 15 ans ou + selon la CSP 2021
Agriculteurs exploitants";"Population de 15 ans ou + selon la CSP 2021
Artisans, commerçants, chefs entreprise";"Population de 15 ans ou + selon la CSP 2021
Cadres et professions intellectuelles supérieures";"Population de 15 ans ou + selon la CSP 2021
Professions intermédiaires";"Population de 15 ans ou + selon la CSP 2021
Employés";"Population de 15 ans ou + selon la CSP 2021
Ouvriers";"Population de 15 ans ou + selon la CSP 2021
Retraités";"Population de 15 ans ou + selon la CSP 2021
Autres personnes sans activité professionnelle";"Nb de pers. âgées de 25 à 64 ans 2021.y";"Part des pers. âgées de 25 à 64 ans 2021";"Nb de pers. âgées de 65 ans ou + 2021";"Nb de pers. âgées  de 75 ans ou plus 2021";"Part des pers. âgées de 75 ans ou + 2021";"Nb de pers. âgées de 80 ans ou + 2021";"Part des pers. âgées de - de 25 ans 2021";"Nb de pers. âgées de - de 25 ans 2021.y";"Part des pers. âgées de - 15 ans 2021"
"01004";"Ambérieu-en-Bugey";7365;14854;4779;92;154;474;223;12;"Ambérieu-en-Bugey";12118;12;378;848;1858;2106;2012;3078;1827;7365;496;2709;1341;"9";766;322;4779;188
"01014";"Arbent";1663;3409;971;71;88;517;19;104;"Arbent";2794;0;87;111;340;288;684;895;390;1663;488;775;342;"10";189;285;971;178
"01024";"Attignat";1703;3336;1000;44;109;49;195;92;"Attignat";2713;10;146;162;596;505;392;622;281;1703;51;634;297;"8,9";166;30;1000;20
"01025";"Bâgé-Dommartin";2140;4065;1249;57;11;478;199;101;"Bâgé-Dommartin";3252;60;115;206;632;538;524;781;396;2140;527;676;253;"6,2";161;307;1249;21
"01031";"Bellignat";1733;3636;1160;52;109;507;174;162;"Bellignat";2964;0;82;153;382;369;481;884;613;1733;477;743;332;"9,1";184;319;1160;178
"01032";"Béligneux";1740;3434;1236;84;145;421;211;147;"Béligneux";2644;0;108;220;420;559;379;497;460;1740;507;458;215;"6,3";138;36;1236;261
"01033";"Valserhône";8622;16295;4983;89;137;46;22;109;"Valserhône";13499;14;417;864;1870;2639;2536;2993;2166;8622;529;2690;1284;"7,9";786;306;4983;20
"01034";"Belley";4271;9239;2547;134;102;527;182;10;"Belley";7797;15;219;358;856;1210;1335;2562;1241;4271;462;2421;1283;"13,9";881;276;2547;166
"01043";"Beynost";2473;4877;1502;6;88;476;187;8;"Beynost";3930;10;154;716;692;488;328;1040;500;2473;507;902;438;"9";241;308;1502;193
"01049";"La Boisse";1745;3361;1086;47;126;447;21;117;"La Boisse";2703;5;176;287;539;418;267;617;392;1745;519;530;248;"7,4";145;323;1086;216
"01053";"Bourg-en-Bresse";19378;41525;12528;113;118;495;218;138;"Bourg-en-Bresse";34928;8;701;2357;4827;5096;4845;9680;7414;19378;467;9619;5104;"12,3";3402;302;12528;16
"01071";"Cessy";3060;5307;1676;24;11;385;282;69;"Cessy";4170;10;62;739;926;926;446;462;599;3060;577;570;208;"3,9";99;316;1676;219
"01093";"Châtillon-sur-Chalaronne";2298;5059;1301;183;74;528;227;67;"Châtillon-sur-Chalaronne";4266;24;213;292;621;543;598;1542;433;2298;454;1460;805;"15,9";542;257;1301;15
"01138";"Culoz-Béon";1704;3426;1011;85;134;563;163;113;"Culoz-Béon";2799;5;100;155;325;425;480;927;383;1704;497;711;327;"9,6";191;295;1011;20
"01142";"Dagneux";2419;4753;1605;42;128;414;20;115;"Dagneux";3679;10;142;391;722;633;410;862;508;2419;509;728;297;"6,2";156;338;1605;214
"01143";"Divonne-les-Bains";5417;10137;2987;52;95;461;216;91;"Divonne-les-Bains";8045;10;313;1877;1421;1095;348;1753;1228;5417;534;1733;873;"8,6";523;295;2987;21
"01159";"Feillens";1769;3381;916;96;117;533;206;66;"Feillens";2771;30;85;141;512;467;427;873;236;1769;523;696;314;"9,3";197;271;916;182
"01160";"Ferney-Voltaire";6336;10920;3224;27;96;427;299;93;"Ferney-Voltaire";8706;0;181;1465;1489;1867;837;1347;1520;6336;58;1360;557;"5,1";310;295;3224;201
"01173";"Gex";7821;13078;3907;57;16;428;275;82;"Gex";10317;9;385;1479;2009;2344;1437;1406;1248;7821;598;1349;655;"5";452;299;3907;203
"01185";"Plateau d'Hauteville";2279;4807;1134;16;72;537;223;61;"Plateau d'Hauteville";4170;35;130;224;521;720;513;1496;532;2279;474;1395;716;"14,9";487;236;1134;137
"01194";"Jassans-Riottier";3112;6355;1835;96;115;491;212;97;"Jassans-Riottier";5225;0;236;386;772;907;652;1639;634;3112;49;1408;685;"10,8";447;289;1835;177
"01202";"Lagnieu";3578;7268;2081;93;111;484;225;77;"Lagnieu";5983;10;204;452;992;820;1036;1653;816;3578;492;1609;768;"10,6";468;286;2081;183
"01224";"Loyettes";1736;3381;1163;51;127;388;22;122;"Loyettes";2616;19;162;234;525;421;415;541;299;1736;513;482;187;"5,5";88;344;1163;232
"01244";"Meximieux";4060;8085;2612;9;12;439;211;104;"Meximieux";6408;0;207;809;1047;1082;865;1499;899;4060;502;1413;682;"8,4";452;323;2612;209
"01249";"Miribel";5302;10225;3252;82;129;445;232;106;"Miribel";8420;15;310;1206;1526;1271;946;1948;1198;5302;519;1671;805;"7,9";516;318;3252;219
"01262";"Montluel";3448;6838;2108;9;122;486;201;101;"Montluel";5632;25;119;506;976;863;996;1332;814;3448;504;1281;635;"9,3";432;308;2108;182
"01263";"Montmerle-sur-Saône";1853;3792;1088;99;95;474;225;65;"Montmerle-sur-Saône";3101;0;111;301;600;412;344;1002;331;1853;489;850;404;"10,7";267;287;1088;182
"01265";"Montréal-la-Cluse";1813;3541;1079;72;102;479;211;131;"Montréal-la-Cluse";2908;5;123;142;389;345;582;724;597;1813;512;649;296;"8,4";180;305;1079;191
"01269";"Nantua";1652;3449;1110;169;121;43;18;175;"Nantua";2733;0;101;162;237;323;658;695;557;1652;479;688;376;"10,9";275;322;1110;203
"01281";"Ornex";2606;4690;1533;44;93;404;23;85;"Ornex";3697;5;96;609;586;803;323;605;671;2606;556;551;241;"5,1";163;327;1533;231
"01283";"Oyonnax";10816;22277;7312;83;131;449;195;181;"Oyonnax";17311;3;598;726;1735;1740;4416;4240;3853;10816;486;4150;1886;"8,5";1149;328;7312;218
"01289";"Péronnas";2869;6448;1816;122;88;549;169;10;"Péronnas";5383;5;231;426;788;781;643;1821;688;2869;445;1763;891;"13,8";565;282;1816;16
"01313";"Prévessin-Moëns";5144;9063;3023;21;91;368;234;111;"Prévessin-Moëns";6851;5;172;1571;1314;1260;517;873;1138;5144;568;896;310;"3,4";169;333;3023;241
"01320";"Replonges";1961;3899;1152;79;97;473;221;76;"Replonges";3079;5;209;224;443;529;427;938;305;1961;503;786;350;"9";194;296;1152;203
"01322";"Reyrieux";2537;5098;1584;182;87;46;211;86;"Reyrieux";4128;16;181;523;717;695;357;1044;595;2537;498;978;466;"9,1";320;311;1584;195
"01333";"Saint-André-de-Corcy";1621;3368;950;106;104;507;202;86;"Saint-André-de-Corcy";2781;10;90;306;613;440;224;777;322;1621;481;797;370;"11";223;282;950;176
"01344";"Saint-Denis-lès-Bourg";2956;6063;1627;77;87;584;151;87;"Saint-Denis-lès-Bourg";5018;20;132;434;796;750;520;1782;584;2956;487;1480;692;"11,4";444;268;1627;179
"01354";"Saint-Genis-Pouilly";8447;14558;4801;21;115;393;25;10;"Saint-Genis-Pouilly";12520;4;312;2775;2105;2352;1153;1465;2354;8447;58;1310;597;"4,1";317;33;4801;229
"01376";"Saint-Maurice-de-Beynost";2086;4155;1338;94;129;451;199;122;"Saint-Maurice-de-Beynost";3356;0;192;316;584;458;446;784;575;2086;502;731;382;"9,2";230;322;1338;211
"01419";"Thoiry";3563;6136;1856;31;95;403;273;81;"Thoiry";4735;41;166;1063;958;781;435;660;631;3563;581;717;279;"4,5";153;302;1856;215
"01427";"Trévoux";3646;6947;2233;58;136;425;221;126;"Trévoux";5419;5;211;559;977;891;849;1102;824;3646;525;1067;438;"6,3";264;321;2233;216
"01443";"Villars-les-Dombes";2500;4954;1356;127;126;498;221;76;"Villars-les-Dombes";4100;10;95;361;642;730;605;1155;502;2500;505;1097;570;"11,5";410;274;1356;164
"01450";"Villieu-Loyes-Mollon";1960;3793;1207;55;114;442;207;92;"Villieu-Loyes-Mollon";2905;25;184;367;509;406;366;731;318;1960;517;626;239;"6,3";152;318;1207;221
"01451";"Viriat";3376;6808;2062;74;107;529;147;106;"Viriat";5512;29;168;415;930;845;611;1676;838;3376;496;1370;623;"9,2";341;303;2062;197
"02064";"Belleu";1630;3693;912;253;85;543;214;93;"Belleu";3145;0;76;147;315;586;432;1079;511;1630;441;1151;623;"16,9";408;247;912;149
"02095";"Bohain-en-Vermandois";2629;5721;1918;165;119;45;205;157;"Bohain-en-Vermandois";4495;10;80;70;246;639;916;1230;1303;2629;459;1174;522;"9,1";368;335;1918;205
"02168";"Château-Thierry";7299;15204;4685;121;138;459;216;135;"Château-Thierry";12043;25;292;665;1268;1830;2018;3339;2605;7299;48;3220;1499;"9,9";929;308;4685;194
"02173";"Chauny";5472;11496;3512;129;124;47;25;10;"Chauny";9485;14;199;416;1024;1615;1314;2935;1968;5472;476;2512;1204;"10,5";842;305;3512;171
"02340";"Gauchy";2510;5204;1446;103;89;526;204;84;"Gauchy";4374;0;89;135;534;742;637;1435;802;2510;482;1247;532;"10,2";303;278;1446;168
"02361";"Guise";2071;4533;1243;192;109;538;201;89;"Guise";3881;0;84;45;289;461;687;1458;858;2071;457;1219;609;"13,4";460;274;1243;151
"02381";"Hirson";3912;8662;2731;151;117;494;198;129;"Hirson";7069;5;101;217;595;1080;1023;2198;1849;3912;452;2019;979;"11,3";613;315;2731;179
"02408";"Laon";11732;24021;7487;107;129;478;23;122;"Laon";19904;21;397;954;2072;3179;2967;5272;5043;11732;488;4801;2191;"9,1";1447;312;7487;172
"02691";"Saint-Quentin";24648;52958;16533;125;12;48;228;119;"Saint-Quentin";43639;37;1072;2469;4799;6710;5949;12572;10030;24648;465;11778;5800;"11";3742;312;16533;176
"02722";"Soissons";13077;28705;8922;108;123;482;221;129;"Soissons";23224;41;534;1428;2453;3372;3343;6851;5201;13077;456;6706;3468;"12,1";2426;311;8922;187
"02738";"Tergnier";6658;13431;4094;108;114;479;232;111;"Tergnier";11015;0;222;305;1121;1958;2104;3111;2194;6658;496;2679;1162;"8,6";739;305;4094;188
"02810";"Villers-Cotterêts";5272;10454;3136;95;117;478;229;107;"Villers-Cotterêts";8559;0;169;329;1114;1477;1633;2318;1519;5272;504;2046;1010;"9,7";652;30;3136;179
"03013";"Avermes";2004;4060;995;84;71;591;212;61;"Avermes";3496;10;77;139;431;705;365;1327;443;2004;494;1061;405;"10";249;245;995;145
"03023";"Bellerive-sur-Allier";3747;8855;2066;165;71;622;162;66;"Bellerive-sur-Allier";7527;15;300;556;771;906;696;3361;922;3747;423;3042;1594;"18";1075;233;2066;148
"03082";"Commentry";2737;6059;1301;157;8;63;163;57;"Commentry";5306;15;126;106;538;679;805;2212;825;2737;452;2020;979;"16,2";621;215;1301;128
"03095";"Cusset";5900;12909;3468;148;81;532;218;89;"Cusset";10851;35;355;511;1193;1705;1391;3833;1828;5900;457;3541;1717;"13,3";1058;269;3468;154
"03098";"Désertines";2032;4387;1001;148;83;58;239;54;"Désertines";3781;0;141;165;435;599;463;1478;499;2032;463;1353;691;"15,8";467;228;1001;144
"03101";"Domérat";4009;8667;1857;111;72;632;17;47;"Domérat";7517;25;256;226;967;1069;808;3153;1015;4009;463;2801;1253;"14,5";726;214;1857;134
"03118";"Gannat";2669;5759;1543;156;84;525;199;95;"Gannat";4798;20;155;245;528;731;756;1658;707;2669;463;1547;907;"15,8";606;268;1543;159
"03185";"Montluçon";14640;33342;9317;141;97;54;227;93;"Montluçon";28917;24;634;1503;3012;5435;3247;9725;5337;14640;439;9385;5202;"15,6";3611;279;9317;137
"03190";"Moulins";9000;19343;5465;136;109;522;204;109;"Moulins";16793;11;344;1000;2223;2884;2013;5245;3074;9000;465;4877;2796;"14,5";2002;283;5465;142
"03236";"Saint-Germain-des-Fossés";1784;3638;974;119;91;571;206;53;"Saint-Germain-des-Fossés";3051;20;151;121;302;423;513;961;562;1784;49;880;446;"12,2";299;268;974;176
"03254";"Saint-Pourçain-sur-Sioule";2238;4997;1233;179;75;556;207;74;"Saint-Pourçain-sur-Sioule";4282;26;112;224;368;665;632;1592;665;2238;448;1526;820;"16,4";558;247;1233;142
"03298";"Varennes-sur-Allier";1697;3609;869;131;71;611;176;55;"Varennes-sur-Allier";3168;20;55;79;252;421;480;1198;664;1697;47;1043;523;"14,5";355;241;869;127
"03310";"Vichy";10209;25789;6143;166;93;622;191;66;"Vichy";23251;27;632;1124;1939;3081;2094;9978;4375;10209;396;9438;5334;"20,7";3616;238;6143;108
"03321";"Yzeure";6118;12598;3010;113;77;57;206;61;"Yzeure";10769;7;229;658;1477;1813;979;3912;1695;6118;486;3470;1793;"14,2";1184;239;3010;139
"04049";"Château-Arnoux-Saint-Auban";2439;5082;1236;107;87;573;184;76;"Château-Arnoux-Saint-Auban";4313;0;169;160;499;725;498;1577;686;2439;48;1408;734;"14,4";461;243;1236;154
"04070";"Digne-les-Bains";7981;17192;4584;112;82;523;256;68;"Digne-les-Bains";14768;29;488;873;1811;2438;1196;4926;3007;7981;464;4627;2242;"13";1430;267;4584;143
"04088";"Forcalquier";2414;5118;1210;175;74;534;23;8;"Forcalquier";4307;30;170;300;459;570;449;1609;719;2414;472;1494;769;"15";491;236;1210;159
"04112";"Manosque";11029;22926;6247;115;121;498;227;94;"Manosque";19041;54;667;1826;2364;2782;2189;5741;3419;11029;481;5650;3161;"13,8";2037;272;6247;173
"04116";"Les Mées";1904;3884;1075;125;102;521;211;71;"Les Mées";3123;9;186;165;501;461;485;894;423;1904;49;904;427;"11";257;277;1075;181
"04143";"Oraison";2785;5981;1440;171;87;523;247;5;"Oraison";5029;20;233;292;721;667;639;1867;590;2785;466;1756;902;"15,1";592;241;1440;148
"04152";"Pierrevert";1928;3941;990;85;7;566;192;66;"Pierrevert";3326;20;116;400;547;410;273;1091;468;1928;489;1023;457;"11,6";252;251;990;171
"04197";"Sainte-Tulle";1811;3489;921;131;84;502;241;64;"Sainte-Tulle";2949;11;195;164;380;538;383;835;444;1811;519;757;434;"12,4";295;264;921;164
"04209";"Sisteron";3612;7699;2069;121;83;564;185;83;"Sisteron";6484;46;203;290;853;950;925;2156;1063;3612;469;2018;1042;"13,5";661;269;2069;161
"04242";"Villeneuve";2253;4355;1296;66;109;479;215;63;"Villeneuve";3468;30;181;221;545;629;464;942;456;2253;517;806;352;"8,1";191;298;1296;203
"05023";"Briançon";5627;10561;2608;94;92;501;254;43;"Briançon";8933;4;439;546;1556;1616;928;2652;1191;5627;533;2327;1163;"11";700;247;2608;147
"05046";"Embrun";2969;6404;1376;154;74;584;23;54;"Embrun";5602;55;308;243;736;906;492;2212;651;2969;464;2059;1058;"16,5";743;215;1376;121
"05061";"Gap";19586;40500;10447;93;94;544;227;66;"Gap";34455;81;1271;2235;4885;6102;3236;11629;5016;19586;484;10467;5230;"12,9";3346;258;10447;15
"05070";"Laragne-Montéglin";1682;3585;757;199;8;556;221;75;"Laragne-Montéglin";3119;10;145;110;290;521;360;1183;500;1682;469;1146;669;"18,7";469;211;757;136
"06004";"Antibes";37326;75130;17031;117;12;542;241;51;"Antibes";65380;58;3422;8950;8725;9947;4233;21119;8926;37326;497;20773;11337;"15,1";7271;227;17031;139
"06011";"Beaulieu-sur-Mer";1859;3796;876;99;54;537;244;55;"Beaulieu-sur-Mer";3320;0;282;335;428;548;169;1078;481;1859;49;1061;590;"15,5";373;231;876;148
"06012";"Beausoleil";7085;12674;3248;47;3;509;256;51;"Beausoleil";10580;9;281;689;1310;2398;1621;2627;1645;7085;559;2341;1126;"8,9";742;256;3248;142
"06018";"Biot";5041;9880;2992;72;79;465;265;47;"Biot";8353;23;639;1936;1086;808;371;1836;1654;5041;51;1847;813;"8,2";462;303;2992;163
"06027";"Cagnes-sur-Mer";25478;52580;12753;118;104;53;24;62;"Cagnes-sur-Mer";44322;32;2375;4131;6211;7649;3806;14200;5919;25478;485;14349;7939;"15,1";5066;243;12753;148
"06029";"Cannes";33899;73255;17302;144;108;533;235;71;"Cannes";63251;5;3337;4057;6405;11085;5698;21431;11232;33899;463;22054;12641;"17,3";8318;236;17302;138
"06030";"Le Cannet";20391;41597;9879;127;116;515;251;66;"Le Cannet";35737;7;2005;2569;4617;6206;3632;11273;5429;20391;49;11326;6293;"15,1";3980;238;9879;144
"06032";"Cap-d'Ail";2421;4508;1159;38;14;492;261;51;"Cap-d'Ail";3778;5;154;353;588;847;288;956;587;2421;537;928;490;"10,9";319;257;1159;16
"06033";"Carros";6657;13277;4405;55;119;422;238;107;"Carros";10707;20;489;794;1814;2023;1511;2343;1713;6657;501;2215;845;"6,4";422;332;4405;214
"06038";"Châteauneuf-Grasse";1837;3716;945;94;25;526;193;58;"Châteauneuf-Grasse";3093;0;235;373;496;424;163;894;509;1837;494;934;483;"13";342;254;945;17
"06044";"La Colle-sur-Loup";4008;8084;2196;91;79;468;271;44;"La Colle-sur-Loup";6692;24;469;1020;1074;1006;267;1767;1065;4008;496;1881;948;"11,7";548;272;2196;172
"06046";"Colomars";1739;3487;885;102;62;557;207;4;"Colomars";2887;5;264;306;435;450;201;911;315;1739;499;862;429;"12,3";285;254;885;15
"06048";"Contes";3750;7544;1953;16;89;506;218;42;"Contes";6394;10;293;394;896;1405;651;2030;716;3750;497;1841;946;"12,5";646;259;1953;162
"06054";"Drap";2537;5238;1688;115;116;415;246;123;"Drap";4096;5;175;143;551;835;512;1183;692;2537;484;1013;499;"9,5";311;322;1688;217
"06064";"Gattières";2077;4287;1188;116;87;467;241;55;"Gattières";3533;25;212;419;573;479;321;1043;460;2077;484;1022;474;"11,1";283;277;1188;171
"06065";"La Gaude";3553;7133;1829;76;83;532;21;48;"La Gaude";5944;0;425;691;1048;724;351;1883;822;3553;498;1751;723;"10,1";398;256;1829;161
"06069";"Grasse";24876;48323;13535;98;125;465;261;82;"Grasse";40441;43;2184;3752;5461;6693;4646;10104;7557;24876;515;9912;4915;"10,2";3149;28;13535;176
"06075";"Levens";2619;5165;1492;82;95;449;237;56;"Levens";4280;24;231;424;698;795;270;1183;655;2619;507;1054;509;"9,8";323;289;1492;183
"06079";"Mandelieu-la-Napoule";10117;21561;4579;123;94;594;22;4;"Mandelieu-la-Napoule";18273;7;1092;1484;2274;3023;1299;6984;2110;10117;469;6865;3684;"17,1";2238;212;4579;134
"06083";"Menton";15024;30412;7492;96;33;528;228;56;"Menton";25720;9;1075;1517;3260;5542;2511;8097;3709;15024;494;7896;4282;"14,1";2846;246;7492;155
"06084";"Mouans-Sartoux";5109;10531;2761;129;97;511;216;59;"Mouans-Sartoux";8784;10;624;1317;1294;1139;595;2559;1246;5109;485;2661;1414;"13,4";917;262;2761;173
"06085";"Mougins";10230;19677;4862;105;98;524;245;47;"Mougins";16305;20;1210;2512;2427;2339;1065;4461;2271;10230;52;4585;2247;"11,4";1421;247;4862;161
"06088";"Nice";167912;348085;97449;109;132;494;245;85;"Nice";294911;147;12486;29698;37793;49568;24687;79912;60621;167912;482;82724;43010;"12,4";27741;28;97449;155
"06090";"Pégomas";4048;8045;2216;118;111;442;26;46;"Pégomas";6524;34;486;569;1131;1150;504;1615;1034;4048;503;1782;961;"11,9";603;275;2216;184
"06095";"Peymeinade";4053;8256;2031;96;89;559;207;49;"Peymeinade";6936;25;478;663;1131;960;507;2318;854;4053;491;2172;1043;"12,6";627;246;2031;162
"06104";"Roquebrune-Cap-Martin";6351;12371;2727;9;27;543;262;29;"Roquebrune-Cap-Martin";10500;1;406;902;1483;2100;745;3379;1483;6351;513;3293;1849;"14,9";1262;22;2727;136
"06105";"Roquefort-les-Pins";3597;7276;2138;92;78;469;22;59;"Roquefort-les-Pins";5774;10;382;1395;857;541;204;1478;906;3597;494;1541;786;"10,8";459;294;2138;202
"06108";"La Roquette-sur-Siagne";2837;5436;1463;71;91;523;231;56;"La Roquette-sur-Siagne";4574;25;380;567;675;764;425;1217;521;2837;522;1136;469;"8,6";296;269;1463;169
"06112";"Le Rouret";2190;4157;1137;59;71;509;227;54;"Le Rouret";3426;15;184;719;540;450;242;846;431;2190;527;830;385;"9,3";198;274;1137;181
"06114";"Saint-André-de-la-Roche";3030;5782;1671;65;127;495;246;86;"Saint-André-de-la-Roche";4711;0;244;305;702;835;574;1127;925;3030;524;1080;525;"9,1";321;289;1671;182
"06118";"Saint-Cézaire-sur-Siagne";2024;3924;989;76;8;517;26;42;"Saint-Cézaire-sur-Siagne";3324;10;237;311;461;472;286;1015;531;2024;516;911;340;"8,7";212;252;989;16
"06122";"Saint-Jeannet";2160;4303;1160;96;75;484;228;66;"Saint-Jeannet";3583;10;264;369;576;406;198;1162;598;2160;502;982;476;"11,1";302;27;1160;164
"06123";"Saint-Laurent-du-Var";15763;30941;7675;105;124;514;244;58;"Saint-Laurent-du-Var";26776;19;1237;2655;4535;4844;2309;7643;3535;15763;509;7503;3930;"12,7";2383;248;7675;154
"06126";"Saint-Martin-du-Var";1719;3375;1099;54;115;377;324;78;"Saint-Martin-du-Var";2717;16;107;242;520;555;376;541;359;1719;509;557;248;"7,3";155;326;1099;208
"06130";"Saint-Vallier-de-Thiey";1961;3667;1065;7;85;43;289;62;"Saint-Vallier-de-Thiey";2944;0;240;401;509;454;280;642;418;1961;535;641;236;"6,4";119;291;1065;196
"06136";"Sospel";1828;3803;981;197;37;503;278;54;"Sospel";3184;20;115;171;406;721;305;1065;380;1828;481;994;495;"13";335;258;981;164
"06147";"Tourrette-Levens";2333;4760;1289;131;88;472;257;38;"Tourrette-Levens";3953;5;247;353;765;670;320;1033;560;2333;49;1138;566;"11,9";356;271;1289;181
"06148";"Tourrettes-sur-Loup";2002;4092;985;82;74;535;238;43;"Tourrettes-sur-Loup";3443;30;352;398;524;332;252;1087;468;2002;489;1105;484;"11,8";290;241;985;157
"06149";"La Trinité";5239;10276;2792;85;10;49;241;72;"La Trinité";8563;9;299;447;1269;1854;978;2380;1328;5239;51;2245;1028;"10";601;272;2792;173
"06152";"Valbonne";6282;12754;4665;53;84;428;264;85;"Valbonne";10304;24;591;2032;1503;1394;550;1844;2366;6282;493;1808;808;"6,3";413;366;4665;18
"06155";"Vallauris";13557;28025;6551;131;129;551;227;65;"Vallauris";23817;36;1210;1662;2503;4002;2388;8212;3804;13557;484;7917;4100;"14,6";2627;234;6551;152
"06157";"Vence";9314;19415;4734;122;91;512;241;59;"Vence";16498;25;1102;1759;2445;2473;1208;5097;2390;9314;48;5367;2803;"14,4";1868;244;4734;15
"06159";"Villefranche-sur-Mer";2246;4989;950;181;7;588;229;31;"Villefranche-sur-Mer";4366;15;254;334;513;688;229;1835;498;2246;45;1792;975;"19,5";639;19;950;119
"06161";"Villeneuve-Loubet";8630;16779;4227;79;113;487;273;47;"Villeneuve-Loubet";14062;5;708;1976;2274;2344;1011;4000;1744;8630;514;3922;1872;"11,2";1131;252;4227;16
"07010";"Annonay";7741;16873;4816;139;118;517;191;117;"Annonay";14491;18;405;669;1536;1953;2318;4833;2759;7741;459;4316;2112;"12,5";1391;285;4816;163
"07019";"Aubenas";5479;12360;3182;158;89;529;258;82;"Aubenas";10600;34;411;548;1163;1730;1190;3792;1733;5479;443;3699;2013;"16,3";1391;257;3182;134
"07042";"Bourg-Saint-Andéol";3408;7352;2147;168;123;513;19;13;"Bourg-Saint-Andéol";5947;29;199;328;865;699;841;1826;1160;3408;464;1798;1006;"13,7";653;292;2147;191
"07102";"Guilherand-Granges";5160;11203;2639;12;103;572;218;41;"Guilherand-Granges";9567;10;283;840;1551;1394;924;3550;1015;5160;461;3404;1613;"14,4";1010;236;2639;137
"07186";"Privas";4090;8541;2280;127;104;517;251;113;"Privas";7249;10;219;429;758;1193;683;2470;1488;4090;479;2171;1058;"12,4";694;267;2280;159
"07281";"Saint-Péray";3678;7588;2032;97;87;527;211;54;"Saint-Péray";6341;30;272;720;1035;907;549;1990;838;3678;485;1878;908;"12";562;268;2032;171
"07319";"Le Teil";4306;8901;2722;11;12;493;225;123;"Le Teil";7161;0;192;258;844;1020;1354;2149;1344;4306;484;1873;916;"10,3";602;306;2722;192
"07324";"Tournon-sur-Rhône";5306;11191;3276;132;108;512;203;119;"Tournon-sur-Rhône";9134;55;323;704;1364;1338;1301;2810;1239;5306;474;2609;1329;"11,9";904;293;3276;18
"07331";"Vals-les-Bains";1560;3485;667;152;89;629;202;64;"Vals-les-Bains";3120;5;120;155;271;440;310;1415;404;1560;448;1258;649;"18,6";395;191;667;115
"07346";"Viviers";1807;3674;891;182;94;551;204;59;"Viviers";3078;40;85;185;465;538;398;938;429;1807;492;976;486;"13,2";334;243;891;149
"07349";"La Voulte-sur-Rhône";2277;4791;1181;174;108;527;208;75;"La Voulte-sur-Rhône";4015;0;129;139;461;540;705;1278;763;2277;475;1333;720;"15";513;247;1181;157
"08081";"Bogny-sur-Meuse";2495;5006;1481;117;109;537;187;96;"Bogny-sur-Meuse";4130;0;105;50;358;545;937;1221;915;2495;498;1030;468;"9,4";319;296;1481;185
"08105";"Charleville-Mézières";22419;46398;13463;118;113;479;24;115;"Charleville-Mézières";38749;4;883;2172;4309;6266;5095;11134;8887;22419;483;10517;5143;"11,1";3349;29;13463;167
"08190";"Givet";3289;6347;1732;63;2;532;214;72;"Givet";5210;0;130;251;666;861;750;1437;1115;3289;518;1326;636;"10";429;273;1732;182
"08328";"Nouzonville";2822;5592;1501;142;107;539;20;86;"Nouzonville";4661;5;101;176;583;770;805;1295;926;2822;505;1269;543;"9,7";362;268;1501;171
"08362";"Rethel";3649;7425;2021;131;117;507;27;76;"Rethel";6304;10;180;246;677;1108;957;2033;1092;3649;491;1755;853;"11,5";599;272;2021;155
"08363";"Revin";2803;5815;1523;137;95;535;213;101;"Revin";4822;0;105;125;424;707;877;1617;967;2803;482;1489;688;"11,8";468;262;1523;159
"08409";"Sedan";7991;16608;4695;133;103;492;232;98;"Sedan";14207;32;333;386;1339;2116;2316;4207;3479;7991;481;3923;1766;"10,6";1136;283;4695;161
"08480";"Villers-Semeuse";1706;3608;948;137;81;516;244;79;"Villers-Semeuse";3089;0;60;79;367;529;493;1071;490;1706;473;954;463;"12,8";311;263;948;161
