"Code";"Nb_visite"
"01004";23587
"01014";3842
"01024";4368
"01025";4519
"01031";3953
"01032";4848
"01033";13495
"01034";12398
"01043";6082
"01049";4841
"01053";49752
"01071";6305
"01093";5069
"01138";4872
"01142";7078
"01143";10190
"01159";4354
"01160";7454
"01173";17549
"01185";2808
"01194";8575
"01202";11861
"01224";6139
"01244";10490
"01249";15089
"01262";9523
"01263";4409
"01265";3650
"01269";4133
"01281";3725
"01283";35952
"01289";6746
"01313";7886
"01320";5448
"01322";7406
"01333";4687
"01344";7836
"01354";14174
"01376";5822
"01419";5234
"01427";10668
"01443";7915
"01450";5393
"01451";7423
"02064";4121
"02095";10764
"02168";18835
"02173";19490
"02340";8971
"02361";7534
"02381";12468
"02408";46992
"02691";97279
"02722";40255
"02738";20808
"02810";14868
"03013";4447
"03023";10248
"03082";7728
"03095";14410
"03098";5230
"03101";10632
"03118";7054
"03185";37548
"03190";20150
"03236";5544
"03254";5489
"03298";3259
"03310";25231
"03321";13010
"04049";6163
"04070";18727
"04088";4687
"04112";35366
"04116";5626
"04143";5950
"04152";4226
"04197";4572
"04209";8424
"04242";6067
"05023";12530
"05046";6024
"05061";55078
"05070";3278
"06004";98952
"06011";2777
"06012";5131
"06018";12288
"06027";66917
"06029";96089
"06030";54986
"06032";1697
"06033";23047
"06038";4697
"06044";10073
"06046";3658
"06048";10442
"06054";8494
"06064";5330
"06065";7476
"06069";107863
"06075";7510
"06079";32633
"06083";23299
"06084";16903
"06085";25349
"06088";529150
"06090";13082
"06095";14698
"06104";7142
"06105";9634
"06108";9535
"06112";4733
"06114";8554
"06118";4548
"06122";5033
"06123";43015
"06126";4632
"06130";5930
"06136";3223
"06147";6034
"06148";4829
"06149";16094
"06152";19430
"06155";37608
"06157";24785
"06159";4243
"06161";23129
"07010";23796
"07019";15002
"07042";9751
"07102";12725
"07186";12026
"07281";9751
"07319";12660
"07324";13788
"07331";3790
"07346";4234
"07349";6430
"08081";7834
"08105";80806
"08190";8021
"08328";9319
"08362";12446
"08363";7987
"08409";32882
"08480";4435
"08490";6965
"08491";6254
"09122";14916
"09160";6149
"09185";7963
"09225";27689
"09261";6187
"09282";7322
"09324";4805
"10003";2621
"10033";5165
"10081";22968
"10268";6866
"10297";7363
"10321";5662
"10323";19339
"10325";6758
"10333";18168
"10343";9022
"10362";13195
"10387";91488
"11069";80287
"11076";14172
"11106";8942
"11116";5177
"11145";4351
"11170";4416
"11202";3221
"11203";21384
"11206";13265
"11262";80654
"11266";7361
"11379";8153
"11397";8186
"11429";8659
"12013";3250
"12052";5354
"12089";4675
"12096";4922
"12133";8398
"12145";25985
"12174";4152
"12176";15874
"12202";25418
"12208";9458
"12270";3151
"12300";13344
"13001";190402
"13002";32762
"13004";83767
"13005";70162
"13007";19298
"13010";4632
"13014";24965
"13015";30571
"13016";9953
"13018";5839
"13019";20352
"13021";7570
"13022";6655
"13023";6050
"13026";37790
"13027";24977
"13028";47160
"13030";7982
"13031";8242
"13032";13464
"13033";8806
"13035";12283
"13036";5282
"13037";15396
"13038";3346
"13039";28848
"13040";23724
"13041";51859
"13042";9235
"13043";19202
"13044";7130
"13045";7598
"13046";8107
"13047";74882
"13048";5280
"13050";13265
"13051";15838
"13053";11282
"13054";71798
"13056";74153
"13059";6098
"13060";10951
"13062";8755
"13063";46810
"13065";4483
"13066";8302
"13069";16001
"13070";8820
"13071";34128
"13072";7500
"13073";10656
"13074";8242
"13075";17131
"13076";5666
"13077";39250
